,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,shambu,76,ET,1543810856,85,9.57,37.1,54.69,2.91
1,cabo san lucas,90,MX,1543805460,64,22.89,-109.91,71.6,4.7
2,never,44,RU,1543810856,56,53.98,124.16,-2.15,8.16
3,poum,48,MK,1543809684,88,41.28,20.71,29.04,1.68
4,hobart,75,AU,1543807920,48,-42.88,147.33,60.8,20.8
5,rikitea,32,PF,1543810001,100,-23.12,-134.97,77.96,12.53
6,champerico,75,MX,1543808640,73,16.38,-93.6,77.0,4.7
7,avarua,40,CK,1543806000,65,-21.21,-159.78,82.4,6.93
8,hithadhoo,92,MV,1543809693,100,-0.6,73.08,77.19,1.57
9,atar,0,MR,1543810221,36,20.52,-13.05,54.83,7.72
10,butaritari,0,KI,1543809415,100,3.07,172.79,84.8,3.36
11,lebu,0,ET,1543806000,81,8.96,38.73,48.2,2.57
12,taree,8,AU,1543809600,47,-31.91,152.46,77.0,12.75
13,cidreira,0,BR,1543809441,89,-30.17,-50.22,56.49,7.38
14,mataura,0,NZ,1543809996,91,-46.19,168.86,73.41,5.14
15,east london,90,ZA,1543806000,93,-33.02,27.91,64.4,2.24
16,carnarvon,0,ZA,1543809920,56,-30.97,22.13,49.61,6.71
17,kapaa,1,US,1543805760,61,22.08,-159.32,80.06,16.11
18,emerald,8,AU,1543809600,21,-23.53,148.16,105.8,5.82
19,kaitangata,44,NZ,1543809732,76,-46.28,169.85,71.03,14.88
20,busselton,0,AU,1543809997,72,-33.64,115.35,75.26,4.25
21,hermanus,64,ZA,1543809680,94,-34.42,19.24,56.27,5.7
22,noumea,0,NC,1543809600,27,-22.28,166.46,91.4,12.75
23,nanakuli,1,US,1543809420,66,21.39,-158.15,75.02,8.05
24,ushuaia,40,AR,1543806000,75,-54.81,-68.31,42.8,17.22
25,piacenza,40,IT,1543809000,93,45.05,9.69,42.8,2.24
26,bredasdorp,92,ZA,1543806000,68,-34.53,20.04,64.4,6.93
27,troyes,75,FR,1543807800,87,48.3,4.07,57.2,18.34
28,albany,90,US,1543809120,100,42.65,-73.75,42.08,4.7
29,iqaluit,90,CA,1543806000,92,63.75,-68.52,19.4,5.82
30,jumla,0,NP,1543809445,61,29.28,82.18,20.18,1.9
31,sibolga,24,ID,1543810860,92,1.74,98.78,76.16,1.12
32,yellowknife,90,CA,1543806000,85,62.45,-114.38,12.2,3.36
33,ust-koksa,48,RU,1543810860,67,50.27,85.62,-18.57,1.9
34,tuatapere,8,NZ,1543809705,63,-46.13,167.69,67.56,11.41
35,arraial do cabo,68,BR,1543809923,98,-22.97,-42.02,73.91,10.4
36,port elizabeth,90,US,1543808340,93,39.31,-74.98,64.04,4.7
